,max_len
gmof_Zn2O8-irmof8_A-NCO_A_No14,9.634834219593982
tobacco_SR_tsd_v1-6c_Zr_1_Ch_v2-4c_B_Ch_v3-4c_B_Ch_v4-3c_triazine_Ch_2B_fused_Ch_1x2x1,20.29752128034471
boydwoo_str_m3_o7_o26_pcu_sym_145,14.29842022497263
gmof_Zn2O8N2-DPAC_A-irmof20_A_No481,14.274001111244388
TUMQUP_FSR,9.560272462969493
gmof_CuN4-SiF6-AZO_No2,10.665505773324174
gmof_Al2O6-irmof10_B-irmof7_B_No154,11.827795669842962
FOCLOB_FSR,12.386020883155108
boydwoo_str_m3_o12_o16_pcu_sym_87,11.123769836422026
gmof_Zn4O13-BDC_A-DPAC_A_No54,14.328186650190704
RINWAO_FSR,13.114272988118723
gmof_AlO6-ADC_A_No16,14.072298574885293
YARCOL_FSR,12.160557961344338
boydwoo_str_m3_o2_o9_pcu_sym_210,13.561021159907312
MIMHIB_FSR,7.622111262156272
XICDEU_FSR,7.906499897267666
core_BEYSEF_freeONLY,6.579148571895043
gmof_Uio66Zr-irmof10_A-irmof14_A_No418,11.681087129952656
boydwoo_str_m3_o3_o8_pcu_sym_96,17.778530890921584
boydwoo_str_m3_o7_o26_pcu_sym_134,14.197783808318707
EZIMAC_FSR,12.437037292072175
GIWFAV_FSR,14.07009294977854
gmof_Al2O6-AZO_B-BDC_B_No338,13.97511249437936
boydwoo_str_m3_o17_o27_pcu_sym_159,15.987962685285867
gmof_AlO6-irmof6_A_No11,7.574835119982084
gmof_Al2O6-BDC_B-irmof8_B_No11,9.779946859258104
gmof_Zn2O8N2-BDC_A-DPAC_A_No635,14.278752147069246
RUGZAW_FSR,14.374878842423971
gmof_Uio66Zr-BDC_A-irmof6_A_No60,7.622620165364397
boydwoo_str_m1_o18_o18_pcu_sym_70,13.397095869516038
gmof_Al2O6-BDC_B-irmof7_B_No21,8.003950053189165
boydwoo_str_m4_Al_o17_o23_acs_sym_50,12.36425687763775
boydwoo_str_m7_o11_o24_bcu_sym_11,10.370948785084902
gmof_Al2O6-BDC_B-irmof7_B_No685,9.767834877293609
BEMLEM_FSR,7.480580283739942
boydwoo_str_m3_o3_o27_pcu_sym_72,15.916548651844717
boydwoo_str_m5_Al_o8_o26_sra_sym_165,14.141127610404858
gmof_Uio66Zr-irmof10_A-irmof14_A_No103,11.847867473766911
DUMFEY_FSR,4.912705788104963
gmof_Uio66Zr-irmof10_A-irmof14_A_No41,11.689926981140669
gmof_AlO6-mof177_No37,14.581504849205746
MUTVUT_FSR,12.266537826053083
gmof_Al2O6-DPAC_B-irmof7_B_No16,14.19947544443131
boydwoo_str_m4_Al_o17_o23_acs_sym_133,12.455921125170777
boydwoo_str_m5_Al_o6_o20_sra_sym_28,12.539535026850796
core_PIJROR_freeONLY,14.344951375891117
gmof_Al2O6-BDC_B-DPAC_B_No216,14.251203256831548
boydwoo_str_m1_o11_o24_pcu_sym_208,8.511633553453944
gmof_Zn4O13-irmof20_A-irmof6_A_No193,9.192775886554733
gmof_Al2O6-AZO_B-irmof7_B_No210,14.059163891232949
core_APARAM_freeONLY,12.143269439746911
boydwoo_str_m3_o17_o22_pcu_sym_162,13.936575358498525
FIMMUL_FSR,10.2145425480812
boydwoo_str_m1_o21_o26_pcu_sym_218,13.895184372625096
gmof_AlO6-ADC_A_No14,14.147609204132998
CORJIC_FSR,4.912705808653798
boydwoo_str_m5_Al_o1_o17_sra_sym_44,12.325964896058316
gmof_Zn4O13-DPAC_A-TED_A_No32,14.270106251710772
VUSNUT_FSR,9.161972707009875
WOGLEL_FSR,10.870817408067493
HEJQIZ_FSR,3.322719927650015
boydwoo_str_m5_Al_o2_o13_sra_sym_102,11.645213435536053
gmof_Al2O6-ADC_B-DPAC_B_No235,14.280286115094984
boydwoo_str_m1_o20_o24_pcu_sym_155,10.943009149293884
boydwoo_str_m1_o4_o9_pcu_sym_196,14.36404168252302
boydwoo_str_m3_o2_o12_pcu_sym_112,11.64094573592714
boydwoo_str_m7_Zn_o4_o10_bcu_sym_36,10.311977782475404
NAVDEW_FSR,14.4942056449458
gmof_Zn4O13-BDC_A-NiC4_No10,7.584117309272735
boydwoo_str_m5_Al_o3_o7_sra_sym_56,15.90299643880258
gmof_AlO6-mof177-N_No5,12.163438129652196
gmof_Zn2O8N2-irmof14_A-irmof20_A_No5,11.604151120175644
boydwoo_str_m4_Al_o20_o23_acs_sym_211,12.48904579299825
boydwoo_str_m3_o20_o28_pcu_sym_56,20.17836066262037
TESGIJ_FSR,12.024267160394077
boydwoo_str_m3_o15_o17_nbo_sym_15,11.668109785214698
boydwoo_str_m1_o16_o26_pcu_sym_221,13.984306454905049
gmof_Al2O6-DPAC_B-irmof20_B_No325,14.312002999062607
