,pld,lcd
1b20bar.res,ifs/1b20bar.res    6.01392 5.21021  6.01392,ifs/1b20bar.res    6.01392 5.21021  6.01392
polymorphsofZIF41903495.res,ifs/polymorphsofZIF41903495.res    1.86476 1.01156  1.84854,ifs/polymorphsofZIF41903495.res    1.86476 1.01156  1.84854
compoundwithbenzene1403843.res,ifs/compoundwithbenzene1403843.res    10.00461 3.46118  10.00461,ifs/compoundwithbenzene1403843.res    10.00461 3.46118  10.00461
toDUT8NipolymorphB1989708.res,ifs/toDUT8NipolymorphB1989708.res    10.61969 9.67953  10.61969,ifs/toDUT8NipolymorphB1989708.res    10.61969 9.67953  10.61969
fromVMOP1878068.res,ifs/fromVMOP1878068.res    52.15888 42.99018  52.15888,ifs/fromVMOP1878068.res    52.15888 42.99018  52.15888
from2D854460.res,ifs/from2D854460.res    2.66833 1.20068  2.21383,ifs/from2D854460.res    2.66833 1.20068  2.21383
to1555242.res,ifs/to1555242.res    10.02733 5.59725  6.31973,ifs/to1555242.res    10.02733 5.59725  6.31973
2to101045134.res,ifs/2to101045134.res    1.69465 0.95398  1.68870,ifs/2to101045134.res    1.69465 0.95398  1.68870
fromja054913asi001.res,ifs/fromja054913asi001.res    1.26595 0.94270  1.24693,ifs/fromja054913asi001.res    1.26595 0.94270  1.24693
initial1a1016635.res,ifs/initial1a1016635.res    5.10912 4.00260  4.54681,ifs/initial1a1016635.res    5.10912 4.00260  4.54681
toanie202202073sup0001nku128toluene.res,ifs/toanie202202073sup0001nku128toluene.res    6.52059 3.77509  6.51722,ifs/toanie202202073sup0001nku128toluene.res    6.52059 3.77509  6.51722
ToaIRMOF9DMF1572714.res,ifs/ToaIRMOF9DMF1572714.res    10.61543 7.76489  10.60750,ifs/ToaIRMOF9DMF1572714.res    10.61543 7.76489  10.60750
1cpdesMOFbacktotheinitial1944823.res,ifs/1cpdesMOFbacktotheinitial1944823.res    2.14417 0.46025  2.14417,ifs/1cpdesMOFbacktotheinitial1944823.res    2.14417 0.46025  2.14417
initialsMOFs1961201.res,ifs/initialsMOFs1961201.res    4.96356 2.92857  4.96356,ifs/initialsMOFs1961201.res    4.96356 2.92857  4.96356
from1in5636900.res,ifs/from1in5636900.res    6.30481 4.31214  6.30481,ifs/from1in5636900.res    6.30481 4.31214  6.30481
tocompoundwithmethanol1403845.res,ifs/tocompoundwithmethanol1403845.res    4.67844 1.61334  4.46107,ifs/tocompoundwithmethanol1403845.res    4.67844 1.61334  4.46107
2tocompound2924308.res,ifs/2tocompound2924308.res    4.65010 3.36744  4.26651,ifs/2tocompound2924308.res    4.65010 3.36744  4.26651
toVMOP1590348.res,ifs/toVMOP1590348.res    10.14917 4.73222  6.20920,ifs/toVMOP1590348.res    10.14917 4.73222  6.20920
asflexMOFAN1420188.res,ifs/asflexMOFAN1420188.res    3.07188 1.32719  2.87219,ifs/asflexMOFAN1420188.res    3.07188 1.32719  2.87219
to15or25MeCnorpXylenesolvated1977798.res,ifs/to15or25MeCnorpXylenesolvated1977798.res    3.75378 1.45352  2.90792,ifs/to15or25MeCnorpXylenesolvated1977798.res    3.75378 1.45352  2.90792
