,id,identifier,csdRefcode,doi
boydwoo_str_m3_o5_o25_nbo_sym_69,6196d006f8a517a48b6cd045,qmof-19f4a86,,https://doi.org/10.24435/materialscloud:2018.0016/v3
NIMVOW_FSR,6196cbfaa6be6ad338998ff2,qmof-e4993a6,NIMVOW,https://doi.org/10.1039/C3CE41116H
gmof_Zn4O13-DPAC_A_No10,6196d182a6be6ad33899f0ef,qmof-86d8f05,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o4_o13_pcu_sym_123,6196cfe8a6be6ad33899d71a,qmof-09ba5e4,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn2O8-irmof8_A-NCO_A_No14,6196d153a6be6ad33899ee2e,qmof-acf445e,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-DPAC_A-irmof20_A_No481,6196d159f8a517a48b6ce971,qmof-5c3c38b,,https://doi.org/10.1039/C9TA01752F
gmof_CuN4-SiF6-AZO_No2,6196d118f8a517a48b6ce40b,qmof-b731939,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-irmof10_B-irmof7_B_No154,6196d0f4f8a517a48b6ce075,qmof-e9940c9,,https://doi.org/10.1039/C9TA01752F
gmof_Zn4O13-BDC_A-DPAC_A_No54,6196d17af8a517a48b6cebd2,qmof-14c725f,,https://doi.org/10.1039/C9TA01752F
RINWAO_FSR,6196cd8cf8a517a48b6ca222,qmof-5e616d3,RINWAO,https://doi.org/10.1016/j.poly.2013.08.054
gmof_AlO6-ADC_A_No16,6196d0fdf8a517a48b6ce133,qmof-afbfd10,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o2_o9_pcu_sym_210,6196cfd2f8a517a48b6ccc8d,qmof-14efc5e,,https://doi.org/10.24435/materialscloud:2018.0016/v3
MIMHIB_FSR,6196cbadf8a517a48b6c85c7,qmof-56a07fd,MIMHIB,
core_BEYSEF_freeONLY,6196d05bf8a517a48b6cd5a0,qmof-a798dd6,BEYSEF,
boydwoo_str_m3_o3_o8_pcu_sym_96,6196cfdea6be6ad33899d65a,qmof-ed41d38,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o7_o26_pcu_sym_134,6196cff8a6be6ad33899d835,qmof-349c5f1,,https://doi.org/10.24435/materialscloud:2018.0016/v3
GIWFAV_FSR,6196c974f8a517a48b6c5f81,qmof-6cb5e16,GIWFAV,https://doi.org/10.1016/j.molstruc.2013.11.041
gmof_Al2O6-AZO_B-BDC_B_No338,6196d0c9f8a517a48b6cdce6,qmof-f2e78b9,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o17_o27_pcu_sym_159,6196cfa2a6be6ad33899d118,qmof-51350de,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_AlO6-irmof6_A_No11,6196d102a6be6ad33899e99f,qmof-6743746,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-BDC_B-irmof8_B_No11,6196d0dca6be6ad33899e694,qmof-38c31e8,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-BDC_A-DPAC_A_No635,6196d149f8a517a48b6ce867,qmof-9f20c48,,https://doi.org/10.1039/C9TA01752F
core_MALFUD_freeONLY,6196d09cf8a517a48b6cda17,qmof-5e34c74,MALFUD,
