,T_P proba
IPINEC_FSR,0.0
JUZGOC_FSR,0.0
core_WEFCAN_freeONLY,0.0
UGEMUQ_FSR,0.0
LUNGEJ01_FSR,0.0
POKFOL_FSR,0.0
boydwoo_str_m1_o9_o24_pcu_sym_87,0.0
boydwoo_str_m7_Zn_o12_o24_bcu_sym_38,0.0
gmof_AlO6-irmof20_A_No13,0.0
VEPJAD_FSR,0.0
TAYJAH_FSR,0.18813232157716092
boydwoo_str_m7_Zn_o8_o17_bcu_sym_72,0.0
AGEDIC_FSR,0.0
boydwoo_str_m7_Zn_o4_o13_bcu_sym_100,0.0
boydwoo_str_m7_Zn_o1_o4_bcu_sym_131,0.0
BEMJEK_FSR,0.15364794927273112
TIFMOK01_FSR,0.0
boydwoo_str_m3_o8_o24_pcu_sym_28,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_14_L_16,0.0
LOHYOY_FSR,0.0
NABNOU_FSR,0.0
COSBIW_FSR,0.18990899177607032
gmof_Al2O6-BDC_B-irmof20_B_No236,0.0
TEWVUP_FSR,0.0
RAFXUS_FSR,0.0
UVINIX_FSR,0.0
core_IGOJEV_freeONLY,0.0
QAHKUH_FSR,0.12435944478596388
boydwoo_str_m7_Zn_o1_o4_bcu_sym_113,0.0
MIRWIU_FSR,0.0
MIKHIZ_FSR,0.0
boydwoo_str_m3_o1_o23_pcu_sym_23,0.0
IPIPII_FSR,0.0
BUTJIK01_FSR,0.0
boydwoo_str_m4_Al_o17_o25_acs_sym_229,0.0
core_BIBXOB_freeONLY,0.1718549319293182
boydwoo_str_m7_Zn_o10_o24_bcu_sym_94,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No206,0.0
boydwoo_str_m7_Zn_o25_o25_bcu_sym_151,0.0
boydwoo_str_m7_Zn_o6_o25_bcu_sym_13,0.0
QUQBEL_FSR,0.10664570764184986
boydwoo_str_m7_Zn_o11_o11_bcu_sym_52,0.16811862814259182
UQUVOS_FSR,0.12697826990944397
boydwoo_str_m7_Zn_o11_o22_bcu_sym_100,0.0
