,node,linker,cat,mofkey
cifs/to1b,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1ccnc1C'],0,Cd.MESQWWFGNOQOMI.MOFkey-v1
cifs/toDUT49Ni100K2014970,['[O][Ni][Ni][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0,Ni.VENUPVZYXSHACQ.MOFkey-v1
cifs/to6cm6b05277si005,['[Ni]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],1,Ni.QMKYBPDZANOJGF.MOFkey-v1
cifs/to6cm6b05277si005Copy,['[Ni]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],1,Ni.QMKYBPDZANOJGF.MOFkey-v1
cifs/tocompoundwithmethanol1403845,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1,Zn.KKUNFVGQMDWOJV.MOFkey-v1
cifs/fromUPC6001942055,"['[Ba]', '[OH]', '[O]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Ba.RYFYCPDCRKHALS.MOFkey-v1
cifs/part6,['[O][Co][Co][O]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3,Co.OPWILJLZIKYBTD.MOFkey-v1
cifs/toic035111osi002,['[Co]'],"['CC(=Cc1ccncc1)c1ccncc1', 'n1ccc(cc1)C=[C]c1ccncc1']",3,Co.VSEVYZIPFLZJRE.YANIKTAVLMOMSB.MOFkey-v1
cifs/tochiralHyFe360K1506141,['[Fe]'],['[O-]C=O'],0,Fe.BDAGIHXWWSANSR.MOFkey-v1
cifs/fromPhaseI1031344,"['[Li]', '[Li][OH2]', '[Zr]']",['[O-]C(=O)C(=O)[O-]'],0,LiZr.MUBZPKHOEPUJKR.MOFkey-v1
